dayofweek,bookinghour,item_status,Location,TotalBookings
Wednesday,9,NO_TAKER,3.1568549101.57002,1
Wednesday,4,NO_TAKER,2.9233806101.6333467,1
Wednesday,19,CANCELLED_BY_PASSENGER,2.9460304101.6872385,1
Wednesday,13,NO_TAKER,3.0014616101.7062244,1
Wednesday,23,CANCELLED_BY_PASSENGER,2.9959695101.6187136,1
Wednesday,9,CANCELLED_BY_PASSENGER,3.047098101.5928105,1
Wednesday,17,CANCELLED_BY_PASSENGER,3.1577316101.7731068,1
Wednesday,21,NO_TAKER,2.9997701101.7104462,1
Wednesday,11,CANCELLED_BY_PASSENGER,3.1173021101.7561482,1
Wednesday,16,CANCELLED_BY_PASSENGER,3.072775101.5881608,1
Wednesday,9,CANCELLED_BY_PASSENGER,3.19851101.6213,1
Wednesday,20,CANCELLED_BY_PASSENGER,3.1327199677132107101.55412469645781,2
Wednesday,21,NO_DRIVER_AVAILABLE,3.1333608451985779101.55375788193216,9
Wednesday,8,NO_TAKER,3.0177264101.817081,1
Wednesday,16,CANCELLED_BY_DRIVER,2.9784052101.7144801,1
Wednesday,17,NO_TAKER,3.0633161101.6090043,1
Wednesday,13,CANCELLED_BY_PASSENGER,3.23784167723524101.681466837467,1
Wednesday,17,CANCELLED_BY_PASSENGER,3.0247712101.7405831,1
Wednesday,20,CANCELLED_BY_PASSENGER,2.9644858101.7211411,1
Wednesday,20,NO_TAKER,3.1015852101.5937636,1
Monday,16,CANCELLED_BY_DRIVER,3.061324101.6082197,1
Monday,9,CANCELLED_BY_PASSENGER,3.111733101.5818962,1
Monday,9,CANCELLED_BY_PASSENGER,2.9236901101.635727,1
Monday,9,CANCELLED_BY_PASSENGER,2.9292850174121559101.62975766427076,1
Monday,8,CANCELLED_BY_PASSENGER,2.9185737101.6315214,1
Monday,8,CANCELLED_BY_PASSENGER,3.197239101.596712,1
Monday,8,CANCELLED_BY_PASSENGER,3.0138446101.6062681,1
Monday,7,CANCELLED_BY_PASSENGER,2.99595562616187101.575434031545,3
Monday,23,CANCELLED_BY_PASSENGER,2.9972592101.7073227,1
Monday,8,CANCELLED_BY_PASSENGER,3.0427061101.5951068,1
Monday,8,CANCELLED_BY_PASSENGER,3.0828594101.6336991,1
Monday,18,CANCELLED_BY_PASSENGER,2.755162302889564101.7042388640315,25
Monday,19,CANCELLED_BY_PASSENGER,2.7445151360287339101.68470903911668,69
Monday,17,CANCELLED_BY_PASSENGER,2.755162302889564101.7042388640315,13
Monday,17,CANCELLED_BY_PASSENGER,2.745312101.684867,7
Monday,21,CANCELLED_BY_PASSENGER,2.7552533640750685101.70433278405888,13
Monday,23,CANCELLED_BY_PASSENGER,3.1766124101.5119845,1
Monday,21,CANCELLED_BY_PASSENGER,2.7445151360287339101.68470903911668,111
Monday,17,CANCELLED_BY_PASSENGER,2.7546143711118094101.70338577963552,7
